loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,income,Credit_Score,co_applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
1,Male,0,type1,p4,1,0,0,476500,360.0,0,0,0,2408000.0,0,pr,0,9000.0,502,1,6,0,19.78820598,North,0,0,48.0
1,Sex Not Available,0,type1,p3,1,0,0,646500,360.0,0,0,0,708000.0,0,pr,0,8220.0,762,0,2,1,91.31355932,south,0,1,31.0
1,Male,0,type2,p4,1,0,1,246500,360.0,1,0,0,298000.0,0,pr,0,3720.0,823,0,1,0,82.71812081,North,0,1,37.0
1,Female,0,type1,p3,1,0,0,196500,360.0,0,0,0,418000.0,0,pr,0,3360.0,513,1,5,1,75.13586957,North,0,1,39.0
1,Joint,1,type1,p1,1,0,0,496500,360.0,0,0,0,518000.0,0,pr,0,8220.0,606,1,5,0,95.84942085,central,0,0,36.0
1,Sex Not Available,0,type2,p4,1,0,1,476500,360.0,0,0,0,508000.0,0,pr,0,5760.0,638,1,2,0,93.7992126,south,0,0,39.0
1,Male,1,type1,p4,1,0,0,226500,360.0,0,0,0,418000.0,0,pr,0,7200.0,761,1,2,1,75.13586957,North-East,0,1,39.0
1,Joint,0,type3,p1,1,0,0,416500,360.0,0,0,0,408000.0,0,pr,0,8700.0,831,1,3,0,102.0833333,south,0,0,33.0
1,Joint,1,type1,p4,1,0,0,506500,360.0,0,0,0,698000.0,0,pr,0,13560.0,856,1,4,0,72.56446991,North,0,0,32.0
1,Male,0,type1,p4,0,0,0,146500,360.0,0,0,0,418000.0,0,pr,0,3600.0,721,1,1,1,75.13586957,North,0,1,39.0
1,Female,0,type1,p3,1,0,0,156500,180.0,0,0,0,238000.0,0,pr,0,7920.0,664,0,2,1,65.75630252,south,0,0,16.0
1,Sex Not Available,0,type1,p1,1,0,0,326500,180.0,0,0,0,368000.0,0,pr,0,8940.0,839,0,4,1,88.72282609,south,0,0,32.0
1,Male,0,type2,p4,1,0,1,316500,360.0,0,0,0,368000.0,0,pr,0,5760.0,563,0,3,1,86.00543478,central,0,0,39.0
1,Sex Not Available,0,type1,p1,1,0,0,696500,360.0,0,0,0,1518000.0,0,ir,0,25260.0,585,0,3,0,45.88274045,south,0,1,45.0
1,Sex Not Available,0,type1,p3,1,0,0,186500,300.0,0,0,0,258000.0,0,pr,0,4860.0,631,1,4,1,72.28682171,south,0,0,43.0
1,Female,0,type1,p3,1,0,0,436500,360.0,0,0,0,608000.0,0,pr,0,7380.0,510,0,5,1,71.79276316,North,0,0,32.0
1,Male,0,type1,p1,1,0,0,326500,360.0,0,1,0,418000.0,0,pr,0,2760.0,833,0,3,1,78.11004785,North,0,0,48.0
1,Joint,0,type1,p3,1,0,0,406500,360.0,0,0,0,708000.0,0,pr,0,4200.0,736,1,6,1,57.41525424,North,0,0,44.0
1,Male,0,type1,p4,1,0,0,296500,324.0,0,0,0,558000.0,0,pr,0,4800.0,507,1,5,1,53.13620072,North,0,0,30.0
1,Male,0,type1,p4,1,0,0,606500,360.0,0,0,0,718000.0,0,pr,0,11340.0,826,0,2,0,84.47075209,south,0,0,35.0
1,Sex Not Available,0,type1,p4,1,0,0,296500,180.0,0,0,0,498000.0,0,pr,0,11400.0,758,0,4,1,59.53815261,south,0,0,17.0
0,Sex Not Available,0,type3,p4,1,0,0,726500,360.0,0,0,0,1028000.0,0,pr,0,5760.0,896,0,3,0,70.67120623,south,0,0,39.0
1,Joint,0,type1,p4,1,0,0,356500,360.0,0,0,0,458000.0,0,pr,0,5340.0,897,1,3,1,77.83842795,south,0,0,36.0
1,Male,1,type1,p1,1,0,0,436500,360.0,0,0,0,548000.0,0,pr,0,11280.0,503,0,1,0,79.65328467,North,0,0,39.0
1,Joint,0,type1,p3,1,0,0,636500,360.0,1,0,0,1608000.0,0,pr,0,7140.0,848,1,6,1,39.58333333,North,0,0,47.0
1,Male,0,type2,p3,0,0,1,226500,360.0,0,0,0,268000.0,0,pr,0,5460.0,806,0,1,1,84.51492537,central,0,0,34.0
1,Joint,0,type1,p4,1,0,0,306500,360.0,0,0,0,298000.0,0,pr,0,6480.0,505,1,3,1,102.852349,south,0,1,51.0
1,Sex Not Available,0,type1,p4,1,0,0,66500,180.0,0,0,0,128000.0,0,pr,0,1920.0,590,0,4,1,51.953125,south,0,0,45.0
1,Male,0,type1,p3,1,0,0,186500,360.0,0,1,0,328000.0,0,pr,0,1920.0,685,0,2,1,56.8597561,North,0,0,43.0
1,Joint,0,type1,p1,0,0,0,386500,300.0,1,0,0,418000.0,0,pr,0,6240.0,796,1,1,0,75.13586957,North-East,0,1,39.0
1,Joint,0,type1,p4,1,0,0,596500,240.0,0,1,0,808000.0,0,pr,0,16500.0,566,1,3,1,73.82425743,North,0,0,28.0
1,Female,0,type1,p3,1,0,0,236500,360.0,0,0,0,338000.0,0,pr,0,5040.0,523,0,3,1,69.9704142,North,0,0,27.0
1,Sex Not Available,0,type1,p4,1,0,0,286500,360.0,0,0,0,408000.0,0,pr,0,4680.0,705,1,5,1,70.22058824,south,0,0,30.0
1,Female,1,type2,p3,1,0,1,106500,180.0,0,0,0,118000.0,0,pr,0,3240.0,823,0,3,1,90.25423729,south,0,1,35.0
1,Sex Not Available,0,type1,p3,1,0,0,196500,360.0,0,0,0,248000.0,0,pr,0,4320.0,898,0,3,1,79.23387097,south,0,0,37.0
1,Joint,0,type1,p3,1,0,0,246500,360.0,1,0,0,418000.0,0,pr,0,0.0,821,1,1,1,75.13586957,central,0,1,39.0
1,Male,1,type1,p1,1,0,0,686500,360.0,0,0,0,418000.0,0,pr,0,8280.0,749,1,2,1,75.13586957,south,0,1,39.0
1,Sex Not Available,0,type1,p1,1,0,0,96500,360.0,0,0,0,98000.0,0,pr,0,2640.0,558,1,0,1,98.46938776,south,0,1,46.0
1,Male,0,type1,p3,0,0,0,356500,360.0,0,0,0,448000.0,0,pr,0,5580.0,602,0,3,1,79.57589286,North,0,0,46.0
1,Joint,0,type3,p3,1,0,0,156500,360.0,0,0,0,248000.0,0,pr,0,2640.0,840,1,5,1,63.10483871,North,0,0,32.0
1,Joint,0,type1,p1,1,0,0,496500,360.0,0,0,0,528000.0,0,pr,0,6540.0,685,1,2,0,94.03409091,North,0,0,48.0
1,Female,0,type1,p3,1,0,0,556500,360.0,0,1,0,418000.0,0,pr,0,12840.0,737,1,4,0,75.13586957,North,0,1,39.0
1,Joint,0,type1,p3,1,0,0,306500,180.0,0,0,0,418000.0,0,pr,0,11280.0,794,1,3,1,73.32535885,south,0,0,19.0
1,Sex Not Available,0,type1,p3,1,0,0,126500,240.0,0,0,0,258000.0,0,pr,0,5700.0,871,1,4,1,49.03100775,south,0,0,28.0
1,Female,0,type1,p4,1,0,0,136500,360.0,0,0,0,258000.0,0,pr,0,1800.0,885,0,5,1,52.90697674,North,0,0,40.0
1,Sex Not Available,0,type2,p4,1,0,1,356500,360.0,0,0,0,478000.0,0,pr,0,5760.0,870,1,3,1,74.58158996,south,0,0,39.0
1,Joint,0,type1,p1,1,0,0,656500,360.0,0,0,0,878000.0,0,pr,0,14880.0,839,1,3,0,74.77220957,south,0,0,45.0
1,Female,0,type1,p3,1,0,0,546500,360.0,0,0,0,718000.0,0,pr,0,13440.0,817,0,4,1,76.11420613,south,0,0,41.0
1,Joint,0,type1,p3,1,0,0,316500,300.0,0,0,0,508000.0,0,pr,0,7260.0,660,1,3,1,62.30314961,North,0,0,43.0
1,Joint,0,type1,p4,1,0,0,486500,360.0,0,0,0,418000.0,0,pr,0,8460.0,711,1,2,0,75.13586957,North,0,1,39.0
1,Sex Not Available,0,type1,p3,1,0,0,276500,360.0,0,0,0,468000.0,0,pr,0,5040.0,792,1,4,1,59.08119658,south,0,0,20.0
1,Female,0,type1,p1,1,0,0,226500,360.0,0,0,0,288000.0,0,pr,0,4500.0,830,0,4,1,78.64583333,North,0,0,39.0
1,Sex Not Available,1,type1,p3,1,0,0,106500,180.0,0,0,0,168000.0,0,pr,0,2220.0,774,0,4,1,63.39285714,south,0,0,31.0
1,Male,0,type1,p4,1,0,0,366500,240.0,0,0,0,518000.0,0,pr,0,13020.0,640,0,3,1,70.75289575,south,0,0,29.0
1,Male,0,type3,p4,1,0,0,146500,360.0,0,0,0,158000.0,0,pr,0,5760.0,530,0,4,1,92.72151899,North,0,0,39.0
